Date,AQI,PM25,Ozone,NO2,SO2,CO,Windspeed,Temperature,AQI_Label,AQI_Class
4/15/21,67,12.29322925,0.036579714,11.35138806,0.272916833,0.288503708,92.3328525,57.10032054,Safe,0
4/16/21,75,14.33010207,0.037650857,11.93925494,0.346527667,0.306323125,95.52964735,60.02115377,Safe,0
4/17/21,93,13.4296875,0.0365,10.06480988,0.305555667,0.310688458,89.49278838,61.85160254,Safe,0
4/18/21,71,9.331770875,0.040348714,9.460688313,0.296527667,0.326464375,93.43173081,70.35576923,Safe,0
4/19/21,80,11.44551277,0.041684143,15.30537988,0.547916667,0.360714769,96.49647435,69.78012815,Safe,0
4/20/21,74,13.00773814,0.042369714,8.720086,0.228472167,0.256873385,93.74567308,61.68846154,Safe,0
4/21/21,58,8.717857143,0.039201786,5.224506875,0.197222167,0.192749154,96.71169869,58.39583346,Safe,0
4/22/21,55,7.780654786,0.038783286,7.084298125,0.188889,0.20837972,113.9325321,58.07980762,Safe,0
4/23/21,60,8.42239575,0.039134357,7.36839075,0.218244833,0.222494,110.5826922,59.16987177,Safe,0
4/24/21,59,9.435947667,0.0384075,5.989096563,0.215277833,0.221027423,119.6711538,59.44230777,Safe,0
4/25/21,56,6.320555533,0.039529429,3.942368563,0.1694445,0.198272192,111.3251602,58.34647431,Safe,0
4/26/21,42,4.065740778,0.038318,5.348409938,0.1819445,0.17782472,111.2629808,56.94871785,Safe,0
4/27/21,53,6.23802075,0.033075538,6.974238125,0.215972333,0.194568542,91.88942312,58.13333331,Safe,0
4/28/21,61,8.788095214,0.033146429,14.328771,0.385416667,0.301733958,90.65913462,66.81826923,Safe,0
4/29/21,90,10.83101856,0.037529786,18.51214669,0.595833333,0.368460038,91.91522435,72.81826915,Safe,0
4/30/21,133,13.1091667,0.042824357,18.86020413,0.6006945,0.395739038,97.301923,74.87532054,Caution,1
5/1/21,90,11.24423077,0.039882357,9.064710067,0.309027667,0.259147417,93.58798077,65.388782,Safe,0
5/2/21,61,9.2097463,0.035361286,3.935036067,0.186111,0.176575125,95.80737181,62.20801292,Safe,0
5/3/21,70,12.4399999,0.0339915,9.028973533,0.321527833,0.23820213,107.4488782,65.83814092,Safe,0
5/4/21,100,15.028125,0.041570143,12.15478213,0.4279115,0.285261682,99.29472612,68.66416085,Safe,0
5/5/21,129,14.90227273,0.042407857,12.58061719,0.37774975,0.310161045,102.7334936,68.48525638,Caution,1
5/6/21,84,12.4529167,0.040405571,8.698550938,0.22916675,0.261214286,101.302564,64.34230762,Safe,0
5/7/21,74,9.596944467,0.042134357,7.602038,0.176725333,0.230783136,105.3010452,63.34594492,Safe,0
5/8/21,90,9.2420833,0.043415857,5.662216875,0.159722167,0.230940591,95.013141,64.70256423,Safe,0
5/9/21,84,12.1070833,0.047575714,4.863507688,0.155555667,0.231827,96.95753215,63.70705131,Safe,0
5/10/21,65,11.085049,0.038059,6.210688438,0.146527833,0.218875909,100.3782051,63.25480777,Safe,0
5/11/21,97,11.6141667,0.043147571,8.459654125,0.14032725,0.2503784,100.2500001,65.08012823,Safe,0
5/12/21,97,10.82725,0.043111857,8.452661125,0.12604175,0.247192042,107.9866071,65.174359,Safe,0
5/13/21,97,10.00861113,0.044283214,8.323387688,0.1403985,0.241157038,113.3965618,63.95247669,Safe,0
5/14/21,80,10.5277976,0.045768857,7.470969063,0.173084833,0.231338231,103.2075321,63.98044869,Safe,0
5/15/21,76,8.106203667,0.042951643,4.073267563,0.152083333,0.197871462,100.3818911,62.15416677,Safe,0
5/16/21,64,4.5225,0.039923077,3.7461836,0.153472333,0.194050346,108.0641026,59.35352562,Safe,0
5/17/21,56,5.5765625,0.036629769,7.0362102,0.165972333,0.2127415,113.4700321,61.98012808,Safe,0
5/18/21,74,8.514166625,0.037680786,8.811511467,0.179861167,0.239033423,106.8799679,65.13653838,Safe,0
5/19/21,84,10.32388887,0.040413,8.238856125,0.167361,0.244926346,95.55673077,64.39395208,Safe,0
5/20/21,66,12.1409568,0.038714286,7.483975625,0.186805667,0.2052295,108.3518589,62.19647438,Safe,0
5/21/21,61,11.0716667,0.0372365,7.255370063,0.202083333,0.212984423,112.4278847,60.61217946,Safe,0
5/22/21,61,10.17573529,0.035638643,5.588915313,0.232638833,0.201671538,95.45929492,59.06153846,Safe,0
5/23/21,62,10.7558333,0.033294143,7.514402125,0.3875,0.262790115,98.26362173,62.59551277,Safe,0
5/24/21,97,11.01875,0.039659714,14.91876131,0.509027833,0.332071231,103.8578525,71.82756415,Safe,0
5/25/21,100,10.6727778,0.038525286,13.70870713,0.390277833,0.299816731,92.995032,72.19743585,Safe,0
5/26/21,71,11.55875,0.036485071,8.790138813,0.245138833,0.225810154,92.58701927,67.263782,Safe,0
5/27/21,90,11.5174999,0.040088143,7.381895375,0.234722167,0.207559923,100.0535257,65.24807677,Safe,0
5/28/21,122,11.20661765,0.041082071,8.970093375,0.24375,0.252010885,100.063141,65.38044869,Caution,1
5/29/21,71,9.67,0.039109214,5.839141688,0.198611167,0.2017865,101.9490384,63.54198715,Safe,0
5/30/21,80,7.8154167,0.040958,4.748324375,0.1569445,0.2026395,93.06714746,65.28269238,Safe,0
5/31/21,101,9.660555533,0.041731071,5.385258188,0.1444445,0.22064492,98.08589735,66.846795,Caution,1
6/1/21,140,12.2804167,0.040962214,9.733808813,0.173611,0.269165125,106.9176282,68.38012823,Caution,1
6/2/21,161,10.7475,0.042336071,10.53340131,0.171527833,0.269979269,109.8778846,68.57852569,Unsafe,2
6/3/21,159,7.884635438,0.042939929,8.356419813,0.163333333,0.236055808,93.87355773,68.56762823,Unsafe,2
6/4/21,108,7.5354167,0.035570286,9.445003625,0.2083335,0.240921385,99.55384615,68.53846162,Caution,1
6/5/21,61,6.5891667,0.038785786,6.896093813,0.173611167,0.215541615,100.9751604,67.91602562,Safe,0
6/6/21,57,5.044021733,0.036382286,4.000000063,0.147222167,0.177403846,96.38397438,65.296154,Safe,0
6/7/21,50,4.0505435,0.034874,5.444531313,0.154861167,0.180391,96.30352565,61.96891031,Safe,0
6/8/21,58,6.774074111,0.036222714,6.251302125,0.2,0.180820577,107.1055861,64.78429485,Safe,0
6/9/21,58,6.869607824,0.033895,9.593489688,0.347916667,0.229423038,104.0516026,65.42083331,Safe,0
6/10/21,57,7.83875,0.031888143,9.501387313,0.321717,0.216631577,91.23060892,65.93218877,Safe,0
6/11/21,119,10.7640909,0.0404495,12.62251425,0.459866333,0.287239769,95.69006412,69.48044862,Caution,1
6/12/21,172,10.3805556,0.046937071,11.75859375,0.472916667,0.322764423,93.7016025,72.46025638,Unsafe,2
6/13/21,143,7.7866666,0.038050286,8.06953125,0.36875,0.257714654,103.1435897,72.33333331,Caution,1
6/14/21,97,8.9791666,0.028075571,12.908631,0.536805667,0.288181615,97.91474362,76.36250008,Safe,0
6/15/21,129,11.24877447,0.038016857,16.72276081,0.621527667,0.335341962,95.34455131,80.20641031,Caution,1
6/16/21,169,13.9233333,0.033515846,10.5314614,0.360416667,0.26282325,95.70112177,75.93237185,Unsafe,2
6/17/21,140,11.37875,0.033269214,13.42756819,0.268055667,0.304573962,96.30032046,74.64391015,Caution,1
6/18/21,159,12.33333333,0.036811,10.86368988,0.177083333,0.263180038,100.6274184,72.68942292,Unsafe,2
6/19/21,169,12.2080978,0.0415,8.115908125,0.170139,0.251942192,108.9137821,72.817162,Unsafe,2
6/20/21,129,11.2816667,0.037811,6.942221375,0.1944445,0.2272285,109.4697116,70.90576915,Caution,1
6/21/21,115,9.370833353,0.039300429,8.982212438,0.25625,0.2302564,104.8985577,70.97916669,Caution,1
6/22/21,74,6.308913,0.026329286,9.608127813,0.3493055,0.225390625,112.2809753,70.65044192,Safe,0
6/23/21,61,5.5083333,0.027054643,9.328815625,0.4055555,0.224612792,106.9003205,70.99871792,Safe,0
6/24/21,51,4.308888867,0.024000571,7.861704063,0.289583333,0.196409154,111.1200321,68.60160262,Safe,0
6/25/21,57,6.0791667,0.028694857,10.21594144,0.407639,0.233418692,106.4088142,71.06025638,Safe,0
6/26/21,140,10.13,0.038680643,10.24560688,0.479861167,0.259775923,101.5815705,73.95641015,Caution,1
6/27/21,177,11.89068629,0.041075571,8.748358125,0.275000167,0.250529115,98.78926288,74.43653862,Unsafe,2
6/28/21,195,11.9954166,0.042873929,9.57922325,0.197916667,0.25771624,101.5003204,74.33108969,Unsafe,2
6/29/21,108,8.4616666,0.032142714,8.512343563,0.208333333,0.224434583,97.56362177,71.54743592,Caution,1
6/30/21,143,7.911388933,0.035500929,8.60661675,0.158531667,0.222556292,96.47596146,72.41282046,Caution,1
7/1/21,112,8.1620833,0.037029429,8.889204688,0.314583333,0.23538625,104.2345238,74.14839754,Caution,1
7/2/21,108,10.38875,0.035054385,11.64863,0.261111167,0.280058,104.1797203,73.94280308,Caution,1
7/3/21,119,9.135539235,0.035959385,9.2337635,0.359027833,0.2664395,104.3421475,74.26314115,Caution,1
7/4/21,142,19.0225,0.035429769,6.378657188,0.335416667,0.212168125,102.2746795,72.13974346,Caution,1
7/5/21,180,12.355,0.0368285,7.269599063,0.272222333,0.231363125,103.3565705,71.05961531,Unsafe,2
7/6/21,136,9.394166667,0.037596643,9.87569575,0.303472167,0.238175542,100.8728205,72.94839746,Caution,1
7/7/21,187,10.3745833,0.040575643,11.97622281,0.24375,0.2601105,98.38445515,74.297436,Unsafe,2
7/8/21,179,11.4783334,0.038979,12.51796869,0.279861167,0.270936292,99.61266031,76.42051277,Unsafe,2
7/9/21,185,12.17355165,0.0403475,12.78040131,0.4145835,0.288331917,106.2125,78.97916662,Unsafe,2
7/10/21,150,13.98625,0.037974714,10.15705906,0.409722333,0.264611458,99.20381708,78.14720269,Caution,1
7/11/21,115,11.4070833,0.0384665,6.445369125,0.303472167,0.212264375,95.21650646,76.46057692,Caution,1
7/12/21,112,10.61972227,0.0375,8.704574438,0.260416667,0.226282458,100.0926282,74.94903854,Caution,1
7/13/21,119,13.38875,0.038735929,11.03719744,0.233611,0.259994292,104.8801693,76.20174823,Caution,1
7/14/21,90,9.0059602,0.035298429,9.943851813,0.244177,0.245788667,100.7173077,75.78173085,Safe,0
7/15/21,87,6.989845941,0.037645,8.5167225,0.216765833,0.214779375,103.874024,75.25737177,Safe,0
7/16/21,100,7.3916666,0.037683308,9.278327875,0.288699667,0.234098917,106.4761218,74.71250008,Safe,0
7/17/21,119,8.9054167,0.041307769,8.922724188,0.372916667,0.248271,106.7054488,75.811218,Caution,1
7/18/21,136,9.358888933,0.041936692,7.985880813,0.531944333,0.254471208,109.5392628,78.528205,Caution,1
7/19/21,115,11.3858334,0.036253385,11.004563,0.529166667,0.255461833,107.2657051,79.01923077,Caution,1
7/20/21,97,11.8579166,0.032460077,11.50831294,0.5,0.253412958,107.4403845,78.16282046,Safe,0
7/21/21,119,13.75759806,0.035725,12.01049419,0.479166667,0.260196125,105.1786859,78.84487185,Caution,1
7/22/21,78,13.9471196,0.031012571,9.6656325,0.392361,0.232278542,94.58713377,76.50444154,Safe,0
7/23/21,84,15.0016666,0.036957929,9.065228813,0.3069445,0.230143667,103.732532,75.03108977,Safe,0
7/24/21,100,12.64805553,0.039895857,7.715081437,0.229861167,0.236099542,103.886218,73.24358985,Safe,0
7/25/21,90,9.458796333,0.036878714,5.62421875,0.232638833,0.205920167,107.5435898,72.97333331,Safe,0
7/26/21,65,9.7375,0.030726929,10.76707588,0.34375,0.261297,107.0426281,71.65735792,Safe,0
7/27/21,87,8.891176412,0.033705929,10.10160469,0.254861167,0.249403292,118.0024318,73.54046815,Safe,0
7/28/21,87,8.6291667,0.030752071,12.14693156,0.554166667,0.274101417,110.5521878,76.47030885,Safe,0
7/29/21,84,9.2504167,0.030131071,12.93890181,0.564583333,0.290354792,110.0487179,76.11698723,Safe,0
7/30/21,87,10.57666673,0.033466286,12.51662138,0.492214667,0.295299875,114.0524038,74.80384608,Safe,0
7/31/21,100,9.0550001,0.032907714,10.10137,0.496527833,0.289069542,113.9437501,74.9375,Safe,0
8/1/21,115,7.72,0.034487429,9.452808,0.590277833,0.283340958,102.1285257,76.50512808,Caution,1
8/2/21,112,8.728676471,0.0343445,14.62873644,0.6055555,0.336706792,103.5477563,78.84871808,Caution,1
8/3/21,154,10.5470834,0.038768429,15.04687563,0.634226,0.323044375,103.6578526,78.02275646,Unsafe,2
8/4/21,179,12.39625,0.038634429,13.73526531,0.532640667,0.312167708,105.2754808,77.298077,Unsafe,2
8/5/21,179,13.38111113,0.041931214,13.22544069,0.510138833,0.303269125,99.73926277,76.72632785,Unsafe,2
8/6/21,140,11.79120378,0.040509214,9.864245867,0.3305555,0.267800167,94.85112181,72.96641031,Caution,1
8/7/21,129,11.0879167,0.044184929,7.462797571,0.308333333,0.241603,98.83381408,72.59647438,Caution,1
8/8/21,119,11.35588241,0.045235286,6.876190429,0.3555555,0.242538458,99.60064104,72.69358969,Caution,1
8/9/21,129,9.5425,0.037285714,10.27555567,0.845833333,0.255574917,100.0294872,74.30961538,Caution,1
8/10/21,143,11.6,0.040621214,12.14285038,0.4375,0.286314125,107.3815706,76.07948723,Caution,1
8/11/21,90,10.7491666,0.033672357,14.27922047,0.59375,0.293623375,108.9090765,78.54376469,Safe,0
8/12/21,80,10.3791667,0.030889286,13.73450563,0.505853167,0.313566958,94.19759612,80.03237185,Safe,0
8/13/21,61,9.6454166,0.027516786,12.07698656,0.405176667,0.287298458,93.50288465,77.48589746,Safe,0
8/14/21,101,11.73553924,0.036390643,10.23528075,0.540972167,0.302687583,102.8253206,76.61410262,Caution,1
8/15/21,164,13.2108333,0.0405965,9.687817188,0.622916833,0.32459425,102.7373398,78.17467962,Unsafe,2
8/16/21,122,16.4033334,0.034449571,12.04679569,0.454861167,0.324756542,96.05865392,77.31346146,Caution,1
8/17/21,61,10.42166667,0.029315857,8.186494563,0.3256945,0.250950208,96.52772423,74.64935892,Safe,0
8/18/21,55,7.70625,0.023803286,5.3855085,0.302777667,0.198010667,99.15849362,70.96602569,Safe,0
8/19/21,67,8.3441667,0.030630357,7.679744125,0.320138833,0.225157292,115.4594551,72.090064,Safe,0
8/20/21,84,9.318137235,0.037359071,8.261731688,0.297619,0.246136333,115.2258014,70.99647438,Safe,0
8/21/21,56,9.2729167,0.036298286,6.133661625,0.2493055,0.249554625,116.005609,69.31474354,Safe,0
8/22/21,87,14.3945834,0.040810857,6.425090562,0.2743055,0.310627125,116.5895834,69.45384608,Safe,0
8/23/21,129,13.890754,0.041466214,11.582552,0.321527833,0.379963375,93.14839746,69.53044877,Caution,1
8/24/21,150,13.8204167,0.043533714,12.74186231,0.347249167,0.392550708,109.1703525,71.088782,Caution,1
8/25/21,166,15.8791667,0.045094,15.35070356,0.449702333,0.433439833,107.2134615,74.72307685,Unsafe,2
8/26/21,159,18.48932288,0.041762786,18.32776981,0.500109667,0.493899042,97.65336535,78.01057708,Unsafe,2
8/27/21,154,15.2416666,0.039574571,18.023331,0.5219445,0.455663458,102.0088142,77.31826923,Unsafe,2
8/28/21,177,14.8558333,0.044788571,12.46840088,0.377777833,0.411068875,105.447855,75.42147446,Unsafe,2
8/29/21,166,13.60833333,0.044857357,9.3796875,0.404861,0.3739895,109.3738782,75.03076923,Unsafe,2
8/30/21,136,16.855,0.0413865,11.39389719,0.334027833,0.367281167,103.1554487,72.12564085,Caution,1
8/31/21,79,18.97424233,0.038585643,10.81050075,0.259722167,0.360955208,99.51442315,68.04917585,Safe,0
9/1/21,68,13.810049,0.037222786,7.508391938,0.2368055,0.323760792,98.17980773,70.17957454,Safe,0
9/2/21,101,12.1754167,0.039322857,9.070892438,0.220138833,0.325524958,108.423077,69.83141015,Caution,1
9/3/21,150,15.8841667,0.0376555,13.55983094,0.317361167,0.387604083,101.5490384,70.94551277,Caution,1
9/4/21,100,13.55556971,0.037012429,14.89671644,0.5305555,0.448155375,102.3826505,76.500641,Safe,0
9/5/21,143,15.76302088,0.045966357,12.58374387,0.61875,0.424059583,103.1052885,80.24102562,Caution,1
